matchnum,queue,result,duration,champion,spell1,spell2,keystone,rune,kills,deaths,assists,level,csscore,killpct,class
384,ARAM,VICTORY,13:45,VEIGAR,Clarity,Flash,Arcane Comet,Domination,7,4,17,14,46,69%,Mage
385,ARAM,VICTORY,26:06,SORAKA,Heal,Flash,Guardian,Sorcery,8,10,40,18,23,83%,Support
386,ARAM,DEFEAT,18:38,GAREN,Mark,Flash,Grasp of the Undying,Precision,13,9,20,17,25,77%,Fighter
387,ARAM,DEFEAT,11:35,VAYNE,Heal,Flash,Press the Attack,Domination,3,9,9,11,17,52%,Marksman
388,ARAM,DEFEAT,16:11,SKARNER,,Flash,Grasp of the Undying,Sorcery,3,9,16,15,23,61%,Fighter
389,ARAM,DEFEAT,14:59,MONKEYKING,Mark,Flash,Electrocute,Precision,6,11,8,14,29,58%,
390,ARAM,DEFEAT,17:12,SORAKA,Heal,Flash,Guardian,Sorcery,3,6,21,16,20,96%,Support
391,ARAM,DEFEAT,21:04,VIKTOR,Clarity,Flash,Arcane Comet,Domination,9,12,11,17,37,65%,Mage
392,ARAM,DEFEAT,16:35,JHIN,Heal,Flash,Conqueror,Domination,9,5,11,15,64,80%,Marksman
393,ARAM,DEFEAT,20:23,IRELIA,Heal,Flash,Electrocute,Precision,4,10,13,17,33,55%,Fighter
394,ARAM,VICTORY,21:30,BRAND,Clarity,Flash,Arcane Comet,Resolve,6,10,28,18,49,60%,Mage
395,ARAM,DEFEAT,16:17,VARUS,Heal,Flash,Electrocute,Precision,8,10,13,15,33,75%,Marksman
396,ARAM,DEFEAT,21:44,MISSFORTUNE,Clarity,Flash,Dark Harvest,Precision,11,10,14,18,34,69%,Marksman
397,ARAM,DEFEAT,21:11,TWITCH,Clarity,Flash,Dark Harvest,Precision,17,11,15,18,61,73%,Marksman
398,ARAM,VICTORY,22:39,ANNIE,Clarity,Flash,Arcane Comet,Resolve,6,9,17,18,43,70%,Mage
399,ARAM,VICTORY,22:04,KOGMAW,Clarity,Flash,Dark Harvest,Precision,7,9,14,18,36,51%,Marksman
400,ARAM,DEFEAT,21:10,SIVIR,Clarity,Flash,Dark Harvest,Precision,11,11,25,18,123,75%,Marksman
401,ARAM,VICTORY,16:42,MISSFORTUNE,Clarity,Flash,Dark Harvest,Precision,17,6,22,17,62,85%,Marksman
402,ARAM,DEFEAT,18:57,TALON,Heal,Flash,Dark Harvest,Precision,6,11,20,16,60,70%,Assassin
403,ARAM,VICTORY,14:52,JHIN,Heal,Flash,Dark Harvest,Precision,6,6,19,14,22,57%,Marksman
404,ARAM,DEFEAT,12:45,ZIGGS,Clarity,Flash,Arcane Comet,Domination,0,5,15,13,22,88%,Mage
405,ARAM,VICTORY,15:41,SONA,Heal,Flash,Summon Aery,Inspiration,4,6,26,15,28,97%,Support
406,ARAM,DEFEAT,22:24,SORAKA,Heal,Flash,Kleptomancy,Sorcery,0,9,29,18,38,91%,Support
407,ARAM,VICTORY,23:33,TEEMO,Ignite,Flash,Dark Harvest,Precision,15,10,21,18,40,77%,Marksman
408,ARAM,DEFEAT,21:02,MISSFORTUNE,Barrier,Flash,Dark Harvest,Precision,7,13,22,17,68,83%,Marksman
409,ARAM,DEFEAT,19:34,ANIVIA,Heal,Flash,Arcane Comet,Precision,9,10,17,18,64,67%,Mage
410,ARAM,VICTORY,18:07,MONKEYKING,Heal,Flash,Dark Harvest,Precision,8,9,22,17,35,77%,
411,ARAM,VICTORY,25:21,AMUMU,Heal,Flash,Grasp of the Undying,Sorcery,9,16,29,18,21,78%,Tank
412,URF,DEFEAT,24:54,VELKOZ,Heal,Flash,Dark Harvest,Sorcery,6,12,18,20,109,42%,Mage
413,URF,DEFEAT,18:29,SION,Heal,Flash,Grasp of the Undying,Sorcery,1,12,3,13,65,13%,Tank
414,URF,VICTORY,18:04,SIVIR,Heal,Flash,Press the Attack,Domination,18,5,11,17,117,60%,Marksman
415,URF,VICTORY,18:47,TEEMO,Heal,Flash,Arcane Comet,Precision,10,8,17,18,66,41%,Marksman
416,ARAM,DEFEAT,20:02,VELKOZ,Clarity,Flash,Arcane Comet,Precision,15,11,19,18,94,85%,Mage
417,URF,VICTORY,14:52,ZIGGS,Heal,Flash,Dark Harvest,Sorcery,12,3,6,13,52,50%,Mage
418,URF,DEFEAT,17:13,ORNN,Heal,Flash,Grasp of the Undying,Sorcery,2,13,8,12,27,40%,Tank
419,URF,VICTORY,20:18,VEIGAR,Exhaust,Flash,Arcane Comet,Domination,12,6,5,19,71,33%,Mage
420,URF,DEFEAT,16:33,LUCIAN,Exhaust,Flash,Press the Attack,Domination,4,10,3,13,48,29%,Marksman
421,URF,DEFEAT,19:01,ZIGGS,Exhaust,Flash,Arcane Comet,Precision,2,10,7,16,79,18%,Mage
422,URF,DEFEAT,22:53,AMUMU,Exhaust,Flash,Grasp of the Undying,Sorcery,5,9,13,19,95,31%,Tank
423,URF,DEFEAT,12:37,GAREN,Heal,Flash,Grasp of the Undying,Sorcery,1,8,7,10,46,57%,Fighter
424,ARAM,DEFEAT,22:03,KARTHUS,Clarity,Flash,Arcane Comet,Precision,19,14,29,18,86,86%,Mage
425,ARAM,DEFEAT,15:53,XERATH,Clarity,Flash,Arcane Comet,Precision,5,7,10,15,37,65%,Mage
426,ARAM,VICTORY,19:32,VLADIMIR,Mark,Flash,Arcane Comet,Domination,8,7,24,17,34,74%,Mage
427,ARAM,VICTORY,15:36,MISSFORTUNE,Clarity,Flash,Press the Attack,Domination,23,4,20,18,85,91%,Marksman
428,ARAM,VICTORY,13:50,ZIGGS,Clarity,Flash,Arcane Comet,Domination,16,4,16,14,35,74%,Mage
429,ARAM,VICTORY,18:17,QUINN,Heal,Flash,Press the Attack,Domination,3,10,12,16,30,42%,Marksman
430,ARAM,VICTORY,17:44,GAREN,Mark,Flash,Grasp of the Undying,Sorcery,8,8,21,17,25,74%,Fighter
431,ARAM,DEFEAT,13:20,VIKTOR,Clarity,Flash,Arcane Comet,Domination,3,6,12,12,29,88%,Mage
432,ARAM,DEFEAT,15:38,TEEMO,Clarity,Flash,Phase Rush,Precision,7,5,9,13,21,62%,Marksman
